"Parameter.Code","Parameter.Desc","Standard.Unit","Meth.Code","Duration.Code","Duration.Desc","Reported.Unit","Reported.Unit.Desc","Collection.Desc","Sample.Analysis.Disc","FED.MDL","Summary.Scale","Designated.Method.Desc","Designated.Method.ID","ABS.Max.Sample.Value","ABS.Min.Sample.Value","Conversion.Ind"
12128,"Lead (TSP) STP",1,43,"7","24 HOUR",1,"Micrograms/cubic meter (25 C)","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"7","24 HOUR",72,"Cubic feet/minute STP","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"7","24 HOUR",77,"Micrograms","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"7","24 HOUR",83,"Cubic meters/minute STP","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"7","24 HOUR",119,"Cubic meters/minute LC","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"8","1 MONTH",1,"Micrograms/cubic meter (25 C)","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"8","1 MONTH",72,"Cubic feet/minute STP","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"8","1 MONTH",77,"Micrograms","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"8","1 MONTH",83,"Cubic meters/minute STP","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"8","1 MONTH",119,"Cubic meters/minute LC","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"C","COMPOSITE DATA",1,"Micrograms/cubic meter (25 C)","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"C","COMPOSITE DATA",72,"Cubic feet/minute STP","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
12128,"Lead (TSP) STP",1,43,"C","COMPOSITE DATA",77,"Micrograms","HI-VOL","ATOMIC ABSORPTION (ALT.EXTR.)",0.01,4,"ALTERNATE-EXTRACTION","EQL-0380-043","100","0","T"
